year_week,week_start_date,bounce_rate,home_sessions,lander_sessions
201222,2012-06-01,0.60571,175,0
201223,2012-06-03,0.58712,792,0
201224,2012-06-10,0.61600,875,0
201225,2012-06-17,0.55819,492,350
201226,2012-06-24,0.58278,369,386
201227,2012-07-01,0.58205,392,388
201228,2012-07-08,0.56679,390,411
201229,2012-07-15,0.54235,429,421
201230,2012-07-22,0.51382,402,394
201231,2012-07-29,0.49708,33,995
201232,2012-08-05,0.53818,0,1087
201233,2012-08-12,0.51403,0,998
201234,2012-08-19,0.50049,0,1012
201235,2012-08-26,0.53782,0,833
