website_session_id,first_pageview_id,count_pageviews
9350,18598,3
9351,18600,3
9352,18601,4
9354,18611,1
9356,18616,6
9357,18622,1
9358,18623,3
9359,18626,1
9360,18627,1
9361,18628,1
9363,18631,7
9364,18632,3
9365,18641,1
9366,18642,3
9367,18645,1
9368,18646,1
9369,18647,5
9371,18657,1
9372,18658,3
9373,18661,2
9374,18663,3
9375,18664,2
9376,18668,1
9377,18669,5
9378,18672,1
9379,18674,1
9380,18676,1
9381,18677,1
9383,18680,1
9384,18681,2
9386,18684,3
9388,18688,1
9389,18689,1
9391,18692,3
9392,18699,6
9393,18705,4
9394,18708,1
9395,18710,1
9396,18711,1
9397,18712,1
9398,18713,6
9400,18720,2
9401,18721,3
9402,18722,1
9403,18725,3
9404,18728,1
9405,18730,1
9406,18731,6
9407,18732,1
9408,18733,1
9409,18738,1
9410,18740,3
9412,18746,7
9413,18749,7
9414,18751,2
9415,18756,1
9416,18762,1
9417,18764,1
9418,18765,1
9421,18768,1
9422,18770,1
9423,18773,1
9424,18774,1
9426,18778,1
9427,18779,1
9428,18780,7
9430,18789,1
9431,18791,2
9432,18793,3
9433,18796,1
9434,18797,1
9435,18798,1
9436,18799,1
9437,18800,6
9438,18801,1
9439,18804,1
9440,18808,1
9441,18809,3
9442,18810,3
9443,18814,1
9444,18816,1
9445,18817,2
9446,18819,1
9447,18820,3
9448,18823,1
9449,18824,1
9450,18825,1
9451,18826,6
9453,18833,1
9454,18834,1
9456,18836,1
9457,18837,1
9458,18838,4
9459,18842,1
9460,18843,7
9461,18845,1
9462,18849,4
9463,18855,1
9464,18856,1
9465,18857,2
9466,18859,1
9467,18860,7
9468,18867,1
9469,18868,3
9470,18871,5
9471,18876,1
9472,18877,1
9473,18878,1
9474,18879,4
9475,18883,1
9476,18884,1
9477,18885,1
9478,18886,6
9479,18892,1
9480,18893,3
9481,18896,3
9482,18898,1
9483,18900,1
9484,18901,1
9485,18902,6
9486,18907,1
9487,18909,1
9488,18910,1
9489,18911,2
9490,18913,1
9491,18914,3
9493,18918,6
9494,18926,1
9495,18927,1
9496,18928,1
9497,18929,2
9498,18931,1
9499,18932,1
9500,18933,2
9501,18935,1
9502,18936,1
9503,18937,1
9504,18938,1
9505,18939,3
9507,18945,1
9510,18948,1
9511,18953,1
9512,18954,1
9513,18955,1
