website_session_id,first_pageview_id,count_pageviews,landing_page,session_created_at
9350,18598,3,/home,"2012-06-01 00:05:11"
9350,18598,3,/products,"2012-06-01 00:08:58"
9350,18598,3,/the-original-mr-fuzzy,"2012-06-01 00:10:46"
9351,18600,3,/home,"2012-06-01 00:06:39"
9351,18600,3,/products,"2012-06-01 00:12:06"
9351,18600,3,/the-original-mr-fuzzy,"2012-06-01 00:15:05"
9352,18601,4,/home,"2012-06-01 00:08:27"
9352,18601,4,/products,"2012-06-01 00:11:25"
9352,18601,4,/the-original-mr-fuzzy,"2012-06-01 00:11:51"
9352,18601,4,/cart,"2012-06-01 00:14:36"
9354,18611,1,/home,"2012-06-01 01:08:43"
9356,18616,6,/home,"2012-06-01 01:37:31"
9356,18616,6,/products,"2012-06-01 01:41:14"
9356,18616,6,/the-original-mr-fuzzy,"2012-06-01 01:44:18"
9356,18616,6,/cart,"2012-06-01 01:47:18"
9356,18616,6,/shipping,"2012-06-01 01:48:57"
9356,18616,6,/billing,"2012-06-01 01:50:53"
9357,18622,1,/home,"2012-06-01 02:29:33"
9358,18623,3,/home,"2012-06-01 02:39:16"
9358,18623,3,/products,"2012-06-01 02:42:23"
9358,18623,3,/the-original-mr-fuzzy,"2012-06-01 02:43:11"
9359,18626,1,/home,"2012-06-01 03:12:34"
9360,18627,1,/home,"2012-06-01 04:09:37"
9361,18628,1,/home,"2012-06-01 04:10:53"
9363,18631,7,/home,"2012-06-01 06:11:14"
9363,18631,7,/products,"2012-06-01 06:12:57"
9363,18631,7,/the-original-mr-fuzzy,"2012-06-01 06:16:21"
9363,18631,7,/cart,"2012-06-01 06:18:06"
9363,18631,7,/shipping,"2012-06-01 06:19:39"
9363,18631,7,/billing,"2012-06-01 06:21:03"
9363,18631,7,/thank-you-for-your-order,"2012-06-01 06:22:07"
9364,18632,3,/home,"2012-06-01 06:12:27"
9364,18632,3,/products,"2012-06-01 06:17:19"
9364,18632,3,/the-original-mr-fuzzy,"2012-06-01 06:18:24"
9365,18641,1,/home,"2012-06-01 06:33:22"
9366,18642,3,/home,"2012-06-01 06:39:50"
9366,18642,3,/products,"2012-06-01 06:43:14"
9366,18642,3,/the-original-mr-fuzzy,"2012-06-01 06:47:02"
9367,18645,1,/home,"2012-06-01 06:54:46"
9368,18646,1,/home,"2012-06-01 07:07:10"
9369,18647,5,/home,"2012-06-01 07:07:55"
9369,18647,5,/products,"2012-06-01 07:09:13"
9369,18647,5,/the-original-mr-fuzzy,"2012-06-01 07:11:27"
9369,18647,5,/cart,"2012-06-01 07:14:24"
9369,18647,5,/shipping,"2012-06-01 07:16:51"
9371,18657,1,/home,"2012-06-01 07:21:35"
9372,18658,3,/home,"2012-06-01 07:33:49"
9372,18658,3,/products,"2012-06-01 07:39:26"
9372,18658,3,/the-original-mr-fuzzy,"2012-06-01 07:43:33"
9373,18661,2,/home,"2012-06-01 07:59:42"
9373,18661,2,/products,"2012-06-01 08:01:07"
9374,18663,3,/home,"2012-06-01 08:03:45"
9374,18663,3,/products,"2012-06-01 08:06:27"
9374,18663,3,/the-original-mr-fuzzy,"2012-06-01 08:10:24"
9375,18664,2,/home,"2012-06-01 08:04:30"
9375,18664,2,/products,"2012-06-01 08:08:11"
9376,18668,1,/home,"2012-06-01 08:15:15"
9377,18669,5,/home,"2012-06-01 08:22:22"
9377,18669,5,/products,"2012-06-01 08:26:46"
9377,18669,5,/the-original-mr-fuzzy,"2012-06-01 08:29:30"
9377,18669,5,/cart,"2012-06-01 08:32:54"
9377,18669,5,/shipping,"2012-06-01 08:36:27"
9378,18672,1,/home,"2012-06-01 08:30:29"
9379,18674,1,/home,"2012-06-01 08:36:00"
9380,18676,1,/home,"2012-06-01 08:42:41"
9381,18677,1,/home,"2012-06-01 08:46:58"
9383,18680,1,/home,"2012-06-01 09:28:39"
9384,18681,2,/home,"2012-06-01 09:30:34"
9384,18681,2,/products,"2012-06-01 09:34:06"
9386,18684,3,/home,"2012-06-01 09:40:35"
9386,18684,3,/products,"2012-06-01 09:43:01"
9386,18684,3,/the-original-mr-fuzzy,"2012-06-01 09:44:35"
9388,18688,1,/home,"2012-06-01 09:45:19"
9389,18689,1,/home,"2012-06-01 10:11:55"
9391,18692,3,/home,"2012-06-01 10:20:50"
9391,18692,3,/products,"2012-06-01 10:25:22"
9391,18692,3,/the-original-mr-fuzzy,"2012-06-01 10:26:13"
9392,18699,6,/home,"2012-06-01 10:35:58"
9392,18699,6,/products,"2012-06-01 10:38:21"
9392,18699,6,/the-original-mr-fuzzy,"2012-06-01 10:39:46"
9392,18699,6,/cart,"2012-06-01 10:41:14"
9392,18699,6,/shipping,"2012-06-01 10:44:13"
9392,18699,6,/billing,"2012-06-01 10:46:51"
9393,18705,4,/home,"2012-06-01 10:54:13"
9393,18705,4,/products,"2012-06-01 10:54:57"
