website_session_id,pageview_url,products_page,mrfuzzy_page,cart_page,shipping_page,billing_page,thankyou_page
18243,/lander-1,0,0,0,0,0,0
18244,/lander-1,0,0,0,0,0,0
18244,/products,1,0,0,0,0,0
18244,/the-original-mr-fuzzy,0,1,0,0,0,0
18244,/cart,0,0,1,0,0,0
18244,/shipping,0,0,0,1,0,0
18244,/billing,0,0,0,0,1,0
18245,/lander-1,0,0,0,0,0,0
18246,/lander-1,0,0,0,0,0,0
18246,/products,1,0,0,0,0,0
18247,/lander-1,0,0,0,0,0,0
18247,/products,1,0,0,0,0,0
18247,/the-original-mr-fuzzy,0,1,0,0,0,0
18249,/lander-1,0,0,0,0,0,0
18250,/lander-1,0,0,0,0,0,0
18251,/lander-1,0,0,0,0,0,0
18251,/products,1,0,0,0,0,0
18251,/the-original-mr-fuzzy,0,1,0,0,0,0
18252,/lander-1,0,0,0,0,0,0
18252,/products,1,0,0,0,0,0
18252,/the-original-mr-fuzzy,0,1,0,0,0,0
18252,/cart,0,0,1,0,0,0
18252,/shipping,0,0,0,1,0,0
18252,/billing,0,0,0,0,1,0
18254,/lander-1,0,0,0,0,0,0
18255,/lander-1,0,0,0,0,0,0
18255,/products,1,0,0,0,0,0
18255,/the-original-mr-fuzzy,0,1,0,0,0,0
18255,/cart,0,0,1,0,0,0
18255,/shipping,0,0,0,1,0,0
18255,/billing,0,0,0,0,1,0
18256,/lander-1,0,0,0,0,0,0
18256,/products,1,0,0,0,0,0
18256,/the-original-mr-fuzzy,0,1,0,0,0,0
18257,/lander-1,0,0,0,0,0,0
18257,/products,1,0,0,0,0,0
18257,/the-original-mr-fuzzy,0,1,0,0,0,0
18258,/lander-1,0,0,0,0,0,0
18258,/products,1,0,0,0,0,0
18259,/lander-1,0,0,0,0,0,0
18259,/products,1,0,0,0,0,0
18259,/the-original-mr-fuzzy,0,1,0,0,0,0
18260,/lander-1,0,0,0,0,0,0
18261,/lander-1,0,0,0,0,0,0
18262,/lander-1,0,0,0,0,0,0
18263,/lander-1,0,0,0,0,0,0
18264,/lander-1,0,0,0,0,0,0
18265,/lander-1,0,0,0,0,0,0
18265,/products,1,0,0,0,0,0
18265,/the-original-mr-fuzzy,0,1,0,0,0,0
18266,/lander-1,0,0,0,0,0,0
18267,/lander-1,0,0,0,0,0,0
18267,/products,1,0,0,0,0,0
18268,/lander-1,0,0,0,0,0,0
18269,/lander-1,0,0,0,0,0,0
18269,/products,1,0,0,0,0,0
18270,/lander-1,0,0,0,0,0,0
18271,/lander-1,0,0,0,0,0,0
18272,/lander-1,0,0,0,0,0,0
18273,/lander-1,0,0,0,0,0,0
18273,/products,1,0,0,0,0,0
18274,/lander-1,0,0,0,0,0,0
18275,/lander-1,0,0,0,0,0,0
18275,/products,1,0,0,0,0,0
18275,/the-original-mr-fuzzy,0,1,0,0,0,0
18275,/cart,0,0,1,0,0,0
18276,/lander-1,0,0,0,0,0,0
18277,/lander-1,0,0,0,0,0,0
18278,/lander-1,0,0,0,0,0,0
18279,/lander-1,0,0,0,0,0,0
18280,/lander-1,0,0,0,0,0,0
18280,/products,1,0,0,0,0,0
18280,/the-original-mr-fuzzy,0,1,0,0,0,0
18280,/cart,0,0,1,0,0,0
18280,/shipping,0,0,0,1,0,0
18280,/billing,0,0,0,0,1,0
18281,/lander-1,0,0,0,0,0,0
18282,/lander-1,0,0,0,0,0,0
18282,/products,1,0,0,0,0,0
18282,/the-original-mr-fuzzy,0,1,0,0,0,0
18283,/lander-1,0,0,0,0,0,0
18285,/lander-1,0,0,0,0,0,0
18286,/lander-1,0,0,0,0,0,0
18287,/lander-1,0,0,0,0,0,0
18288,/lander-1,0,0,0,0,0,0
18289,/lander-1,0,0,0,0,0,0
18290,/lander-1,0,0,0,0,0,0
18290,/products,1,0,0,0,0,0
18290,/the-original-mr-fuzzy,0,1,0,0,0,0
18290,/cart,0,0,1,0,0,0
18290,/shipping,0,0,0,1,0,0
18290,/billing,0,0,0,0,1,0
18290,/thank-you-for-your-order,0,0,0,0,0,1
18291,/lander-1,0,0,0,0,0,0
18291,/products,1,0,0,0,0,0
18292,/lander-1,0,0,0,0,0,0
18293,/lander-1,0,0,0,0,0,0
18294,/lander-1,0,0,0,0,0,0
18295,/lander-1,0,0,0,0,0,0
18295,/products,1,0,0,0,0,0
18295,/the-original-mr-fuzzy,0,1,0,0,0,0
18295,/cart,0,0,1,0,0,0
18295,/shipping,0,0,0,1,0,0
18295,/billing,0,0,0,0,1,0
18295,/thank-you-for-your-order,0,0,0,0,0,1
18296,/lander-1,0,0,0,0,0,0
18296,/products,1,0,0,0,0,0
18297,/lander-1,0,0,0,0,0,0
18297,/products,1,0,0,0,0,0
18297,/the-original-mr-fuzzy,0,1,0,0,0,0
18298,/lander-1,0,0,0,0,0,0
18298,/products,1,0,0,0,0,0
18298,/the-original-mr-fuzzy,0,1,0,0,0,0
18298,/cart,0,0,1,0,0,0
18298,/shipping,0,0,0,1,0,0
18298,/billing,0,0,0,0,1,0
18299,/lander-1,0,0,0,0,0,0
18300,/lander-1,0,0,0,0,0,0
18300,/products,1,0,0,0,0,0
18301,/lander-1,0,0,0,0,0,0
18302,/lander-1,0,0,0,0,0,0
18303,/lander-1,0,0,0,0,0,0
18305,/lander-1,0,0,0,0,0,0
18305,/products,1,0,0,0,0,0
18305,/the-original-mr-fuzzy,0,1,0,0,0,0
18305,/cart,0,0,1,0,0,0
18305,/shipping,0,0,0,1,0,0
18305,/billing,0,0,0,0,1,0
18305,/thank-you-for-your-order,0,0,0,0,0,1
18306,/lander-1,0,0,0,0,0,0
18306,/products,1,0,0,0,0,0
18306,/the-original-mr-fuzzy,0,1,0,0,0,0
18306,/cart,0,0,1,0,0,0
18306,/shipping,0,0,0,1,0,0
18307,/lander-1,0,0,0,0,0,0
18308,/lander-1,0,0,0,0,0,0
18309,/lander-1,0,0,0,0,0,0
18310,/lander-1,0,0,0,0,0,0
18312,/lander-1,0,0,0,0,0,0
18312,/products,1,0,0,0,0,0
18312,/the-original-mr-fuzzy,0,1,0,0,0,0
18312,/cart,0,0,1,0,0,0
18312,/shipping,0,0,0,1,0,0
18312,/billing,0,0,0,0,1,0
18313,/lander-1,0,0,0,0,0,0
18316,/lander-1,0,0,0,0,0,0
18317,/lander-1,0,0,0,0,0,0
18318,/lander-1,0,0,0,0,0,0
18319,/lander-1,0,0,0,0,0,0
18319,/products,1,0,0,0,0,0
18319,/the-original-mr-fuzzy,0,1,0,0,0,0
18321,/lander-1,0,0,0,0,0,0
18322,/lander-1,0,0,0,0,0,0
18322,/products,1,0,0,0,0,0
18322,/the-original-mr-fuzzy,0,1,0,0,0,0
18323,/lander-1,0,0,0,0,0,0
18323,/products,1,0,0,0,0,0
18324,/lander-1,0,0,0,0,0,0
18325,/lander-1,0,0,0,0,0,0
18327,/lander-1,0,0,0,0,0,0
18328,/lander-1,0,0,0,0,0,0
18329,/lander-1,0,0,0,0,0,0
18329,/products,1,0,0,0,0,0
18329,/the-original-mr-fuzzy,0,1,0,0,0,0
18330,/lander-1,0,0,0,0,0,0
18330,/products,1,0,0,0,0,0
18330,/the-original-mr-fuzzy,0,1,0,0,0,0
18331,/lander-1,0,0,0,0,0,0
18332,/lander-1,0,0,0,0,0,0
18332,/products,1,0,0,0,0,0
18332,/the-original-mr-fuzzy,0,1,0,0,0,0
18332,/cart,0,0,1,0,0,0
18332,/shipping,0,0,0,1,0,0
18332,/billing,0,0,0,0,1,0
18333,/lander-1,0,0,0,0,0,0
18333,/products,1,0,0,0,0,0
18333,/the-original-mr-fuzzy,0,1,0,0,0,0
18334,/lander-1,0,0,0,0,0,0
18335,/lander-1,0,0,0,0,0,0
18336,/lander-1,0,0,0,0,0,0
18337,/lander-1,0,0,0,0,0,0
18338,/lander-1,0,0,0,0,0,0
18338,/products,1,0,0,0,0,0
18338,/the-original-mr-fuzzy,0,1,0,0,0,0
18339,/lander-1,0,0,0,0,0,0
18340,/lander-1,0,0,0,0,0,0
18341,/lander-1,0,0,0,0,0,0
18341,/products,1,0,0,0,0,0
18341,/the-original-mr-fuzzy,0,1,0,0,0,0
18342,/lander-1,0,0,0,0,0,0
18343,/lander-1,0,0,0,0,0,0
18344,/lander-1,0,0,0,0,0,0
18345,/lander-1,0,0,0,0,0,0
18346,/lander-1,0,0,0,0,0,0
18347,/lander-1,0,0,0,0,0,0
18348,/lander-1,0,0,0,0,0,0
18348,/products,1,0,0,0,0,0
18349,/lander-1,0,0,0,0,0,0
18350,/lander-1,0,0,0,0,0,0
18351,/lander-1,0,0,0,0,0,0
18351,/products,1,0,0,0,0,0
18351,/the-original-mr-fuzzy,0,1,0,0,0,0
18351,/cart,0,0,1,0,0,0
18351,/shipping,0,0,0,1,0,0
18351,/billing,0,0,0,0,1,0
18351,/thank-you-for-your-order,0,0,0,0,0,1
18352,/lander-1,0,0,0,0,0,0
18352,/products,1,0,0,0,0,0
18352,/the-original-mr-fuzzy,0,1,0,0,0,0
18352,/cart,0,0,1,0,0,0
18352,/shipping,0,0,0,1,0,0
18353,/lander-1,0,0,0,0,0,0
18353,/products,1,0,0,0,0,0
18354,/lander-1,0,0,0,0,0,0
18355,/lander-1,0,0,0,0,0,0
18355,/products,1,0,0,0,0,0
18355,/the-original-mr-fuzzy,0,1,0,0,0,0
18356,/lander-1,0,0,0,0,0,0
18356,/products,1,0,0,0,0,0
18356,/the-original-mr-fuzzy,0,1,0,0,0,0
18357,/lander-1,0,0,0,0,0,0
18357,/products,1,0,0,0,0,0
18358,/lander-1,0,0,0,0,0,0
18359,/lander-1,0,0,0,0,0,0
18359,/products,1,0,0,0,0,0
18359,/the-original-mr-fuzzy,0,1,0,0,0,0
18360,/lander-1,0,0,0,0,0,0
18360,/products,1,0,0,0,0,0
18360,/the-original-mr-fuzzy,0,1,0,0,0,0
18361,/lander-1,0,0,0,0,0,0
18361,/products,1,0,0,0,0,0
18361,/the-original-mr-fuzzy,0,1,0,0,0,0
18361,/cart,0,0,1,0,0,0
18362,/lander-1,0,0,0,0,0,0
18363,/lander-1,0,0,0,0,0,0
18363,/products,1,0,0,0,0,0
18364,/lander-1,0,0,0,0,0,0
18365,/lander-1,0,0,0,0,0,0
18365,/products,1,0,0,0,0,0
18365,/the-original-mr-fuzzy,0,1,0,0,0,0
18365,/cart,0,0,1,0,0,0
18365,/shipping,0,0,0,1,0,0
18365,/billing,0,0,0,0,1,0
18365,/thank-you-for-your-order,0,0,0,0,0,1
18366,/lander-1,0,0,0,0,0,0
18367,/lander-1,0,0,0,0,0,0
18368,/lander-1,0,0,0,0,0,0
18369,/lander-1,0,0,0,0,0,0
18370,/lander-1,0,0,0,0,0,0
18371,/lander-1,0,0,0,0,0,0
18371,/products,1,0,0,0,0,0
18371,/the-original-mr-fuzzy,0,1,0,0,0,0
18372,/lander-1,0,0,0,0,0,0
18373,/lander-1,0,0,0,0,0,0
18375,/lander-1,0,0,0,0,0,0
18375,/products,1,0,0,0,0,0
18376,/lander-1,0,0,0,0,0,0
18376,/products,1,0,0,0,0,0
18376,/the-original-mr-fuzzy,0,1,0,0,0,0
18376,/cart,0,0,1,0,0,0
18376,/shipping,0,0,0,1,0,0
18376,/billing,0,0,0,0,1,0
18376,/thank-you-for-your-order,0,0,0,0,0,1
18379,/lander-1,0,0,0,0,0,0
18380,/lander-1,0,0,0,0,0,0
18380,/products,1,0,0,0,0,0
18380,/the-original-mr-fuzzy,0,1,0,0,0,0
18383,/lander-1,0,0,0,0,0,0
