website_session_id,product_made_it,mrfuzzy_made_it,cart_made_it,shipping_made_it,billing_made_it,thankyou_made_it
18243,0,0,0,0,0,0
18244,1,1,1,1,1,0
18245,0,0,0,0,0,0
18246,1,0,0,0,0,0
18247,1,1,0,0,0,0
18249,0,0,0,0,0,0
18250,0,0,0,0,0,0
18251,1,1,0,0,0,0
18252,1,1,1,1,1,0
18254,0,0,0,0,0,0
18255,1,1,1,1,1,0
18256,1,1,0,0,0,0
18257,1,1,0,0,0,0
18258,1,0,0,0,0,0
18259,1,1,0,0,0,0
18260,0,0,0,0,0,0
18261,0,0,0,0,0,0
18262,0,0,0,0,0,0
18263,0,0,0,0,0,0
18264,0,0,0,0,0,0
18265,1,1,0,0,0,0
18266,0,0,0,0,0,0
18267,1,0,0,0,0,0
18268,0,0,0,0,0,0
18269,1,0,0,0,0,0
18270,0,0,0,0,0,0
18271,0,0,0,0,0,0
18272,0,0,0,0,0,0
18273,1,0,0,0,0,0
18274,0,0,0,0,0,0
18275,1,1,1,0,0,0
18276,0,0,0,0,0,0
18277,0,0,0,0,0,0
18278,0,0,0,0,0,0
18279,0,0,0,0,0,0
18280,1,1,1,1,1,0
18281,0,0,0,0,0,0
18282,1,1,0,0,0,0
18283,0,0,0,0,0,0
18285,0,0,0,0,0,0
18286,0,0,0,0,0,0
18287,0,0,0,0,0,0
18288,0,0,0,0,0,0
18289,0,0,0,0,0,0
18290,1,1,1,1,1,1
18291,1,0,0,0,0,0
18292,0,0,0,0,0,0
18293,0,0,0,0,0,0
18294,0,0,0,0,0,0
18295,1,1,1,1,1,1
18296,1,0,0,0,0,0
18297,1,1,0,0,0,0
18298,1,1,1,1,1,0
18299,0,0,0,0,0,0
18300,1,0,0,0,0,0
18301,0,0,0,0,0,0
18302,0,0,0,0,0,0
18303,0,0,0,0,0,0
18305,1,1,1,1,1,1
18306,1,1,1,1,0,0
18307,0,0,0,0,0,0
18308,0,0,0,0,0,0
18309,0,0,0,0,0,0
18310,0,0,0,0,0,0
18312,1,1,1,1,1,0
18313,0,0,0,0,0,0
18316,0,0,0,0,0,0
18317,0,0,0,0,0,0
18318,0,0,0,0,0,0
18319,1,1,0,0,0,0
18321,0,0,0,0,0,0
18322,1,1,0,0,0,0
18323,1,0,0,0,0,0
18324,0,0,0,0,0,0
18325,0,0,0,0,0,0
18327,0,0,0,0,0,0
18328,0,0,0,0,0,0
18329,1,1,0,0,0,0
18330,1,1,0,0,0,0
18331,0,0,0,0,0,0
18332,1,1,1,1,1,0
18333,1,1,0,0,0,0
18334,0,0,0,0,0,0
18335,0,0,0,0,0,0
18336,0,0,0,0,0,0
18337,0,0,0,0,0,0
18338,1,1,0,0,0,0
18339,0,0,0,0,0,0
18340,0,0,0,0,0,0
18341,1,1,0,0,0,0
18342,0,0,0,0,0,0
18343,0,0,0,0,0,0
18344,0,0,0,0,0,0
18345,0,0,0,0,0,0
18346,0,0,0,0,0,0
18347,0,0,0,0,0,0
18348,1,0,0,0,0,0
18349,0,0,0,0,0,0
18350,0,0,0,0,0,0
18351,1,1,1,1,1,1
18352,1,1,1,1,0,0
18353,1,0,0,0,0,0
18354,0,0,0,0,0,0
18355,1,1,0,0,0,0
18356,1,1,0,0,0,0
18357,1,0,0,0,0,0
18358,0,0,0,0,0,0
18359,1,1,0,0,0,0
18360,1,1,0,0,0,0
18361,1,1,1,0,0,0
18362,0,0,0,0,0,0
18363,1,0,0,0,0,0
18364,0,0,0,0,0,0
18365,1,1,1,1,1,1
18366,0,0,0,0,0,0
18367,0,0,0,0,0,0
18368,0,0,0,0,0,0
18369,0,0,0,0,0,0
18370,0,0,0,0,0,0
18371,1,1,0,0,0,0
18372,0,0,0,0,0,0
18373,0,0,0,0,0,0
18375,1,0,0,0,0,0
18376,1,1,1,1,1,1
18379,0,0,0,0,0,0
18380,1,1,0,0,0,0
18383,0,0,0,0,0,0
18384,1,0,0,0,0,0
18385,1,0,0,0,0,0
18386,0,0,0,0,0,0
18387,1,1,1,1,0,0
18388,1,0,0,0,0,0
18389,0,0,0,0,0,0
18391,0,0,0,0,0,0
18392,0,0,0,0,0,0
18394,1,1,1,1,1,0
18395,0,0,0,0,0,0
18397,0,0,0,0,0,0
18398,1,1,1,0,0,0
18399,1,0,0,0,0,0
18400,0,0,0,0,0,0
18401,1,1,0,0,0,0
18402,0,0,0,0,0,0
18403,1,0,0,0,0,0
18404,1,1,0,0,0,0
18405,1,1,1,1,1,0
18406,0,0,0,0,0,0
18407,0,0,0,0,0,0
18408,1,1,1,0,0,0
18409,0,0,0,0,0,0
18411,0,0,0,0,0,0
18412,1,1,0,0,0,0
18413,1,1,1,1,1,1
18414,0,0,0,0,0,0
18415,0,0,0,0,0,0
18417,1,0,0,0,0,0
18418,0,0,0,0,0,0
18420,1,1,1,1,1,1
18421,0,0,0,0,0,0
18422,1,1,0,0,0,0
18423,1,0,0,0,0,0
18424,1,0,0,0,0,0
18425,1,1,0,0,0,0
18426,0,0,0,0,0,0
18427,0,0,0,0,0,0
18428,0,0,0,0,0,0
18429,0,0,0,0,0,0
18430,1,1,1,0,0,0
18431,0,0,0,0,0,0
18432,0,0,0,0,0,0
18433,0,0,0,0,0,0
18435,0,0,0,0,0,0
18436,0,0,0,0,0,0
18438,0,0,0,0,0,0
18439,1,1,1,1,1,1
18441,1,0,0,0,0,0
18442,0,0,0,0,0,0
18444,1,1,1,1,1,0
18445,0,0,0,0,0,0
18446,0,0,0,0,0,0
18447,1,1,1,0,0,0
18448,0,0,0,0,0,0
18449,0,0,0,0,0,0
18450,0,0,0,0,0,0
18451,1,1,0,0,0,0
18452,1,1,0,0,0,0
18453,1,1,0,0,0,0
18454,0,0,0,0,0,0
