yr,mo,nonbrand,brand,brand_pct_of_nonbrand,direct,direct_pct_of_nonbrand,organic,organic_pct_of_nonbrand
2012,3,1852,10,0.0054,9,0.0049,8,0.0043
2012,4,3509,76,0.0217,71,0.0202,78,0.0222
2012,5,3295,140,0.0425,151,0.0458,150,0.0455
2012,6,3439,164,0.0477,170,0.0494,190,0.0552
2012,7,3660,195,0.0533,187,0.0511,207,0.0566
2012,8,5318,264,0.0496,250,0.0470,265,0.0498
2012,9,5591,339,0.0606,285,0.0510,331,0.0592
2012,10,6883,432,0.0628,440,0.0639,428,0.0622
2012,11,12260,556,0.0454,571,0.0466,624,0.0509
2012,12,6643,464,0.0698,482,0.0726,492,0.0741
