website_session_id,created_at,channel_group
1,"2012-03-19 08:04:16",paid_nonbrand
2,"2012-03-19 08:16:49",paid_nonbrand
3,"2012-03-19 08:26:55",paid_nonbrand
4,"2012-03-19 08:37:33",paid_nonbrand
5,"2012-03-19 09:00:55",paid_nonbrand
6,"2012-03-19 09:05:46",paid_nonbrand
7,"2012-03-19 09:06:27",paid_nonbrand
8,"2012-03-19 09:17:17",paid_nonbrand
9,"2012-03-19 09:27:56",paid_nonbrand
10,"2012-03-19 09:35:37",paid_nonbrand
11,"2012-03-19 09:37:42",paid_nonbrand
12,"2012-03-19 09:39:57",paid_nonbrand
13,"2012-03-19 09:45:29",paid_nonbrand
14,"2012-03-19 09:45:47",paid_nonbrand
15,"2012-03-19 09:57:14",paid_nonbrand
16,"2012-03-19 10:01:35",paid_nonbrand
17,"2012-03-19 10:14:34",paid_nonbrand
18,"2012-03-19 10:16:57",paid_nonbrand
19,"2012-03-19 10:17:38",paid_nonbrand
20,"2012-03-19 10:22:58",paid_nonbrand
21,"2012-03-19 10:51:38",paid_nonbrand
22,"2012-03-19 10:54:55",paid_nonbrand
23,"2012-03-19 10:59:03",paid_nonbrand
24,"2012-03-19 11:08:58",paid_nonbrand
25,"2012-03-19 11:16:42",paid_nonbrand
26,"2012-03-19 11:20:14",paid_nonbrand
27,"2012-03-19 11:22:58",paid_nonbrand
28,"2012-03-19 11:24:59",paid_nonbrand
29,"2012-03-19 11:33:47",paid_nonbrand
30,"2012-03-19 11:43:21",paid_nonbrand
31,"2012-03-19 11:46:37",paid_nonbrand
32,"2012-03-19 11:53:24",paid_nonbrand
33,"2012-03-19 11:58:52",paid_nonbrand
34,"2012-03-19 12:01:28",paid_nonbrand
35,"2012-03-19 12:02:18",paid_nonbrand
36,"2012-03-19 12:07:36",paid_nonbrand
37,"2012-03-19 12:09:24",paid_nonbrand
38,"2012-03-19 12:23:11",paid_nonbrand
39,"2012-03-19 12:35:54",paid_nonbrand
40,"2012-03-19 12:45:10",paid_nonbrand
41,"2012-03-19 12:55:38",paid_nonbrand
42,"2012-03-19 12:55:57",paid_nonbrand
43,"2012-03-19 12:57:35",paid_nonbrand
44,"2012-03-19 13:10:20",paid_nonbrand
45,"2012-03-19 13:11:43",paid_nonbrand
46,"2012-03-19 13:14:49",paid_nonbrand
47,"2012-03-19 13:19:35",paid_nonbrand
48,"2012-03-19 13:25:51",paid_nonbrand
49,"2012-03-19 13:29:52",paid_nonbrand
50,"2012-03-19 13:30:31",paid_nonbrand
51,"2012-03-19 13:37:56",paid_nonbrand
52,"2012-03-19 13:39:26",paid_nonbrand
53,"2012-03-19 14:01:42",paid_nonbrand
54,"2012-03-19 14:12:09",paid_nonbrand
55,"2012-03-19 14:15:08",paid_nonbrand
56,"2012-03-19 14:20:38",paid_nonbrand
57,"2012-03-19 14:23:51",paid_nonbrand
58,"2012-03-19 14:42:54",paid_nonbrand
59,"2012-03-19 14:51:15",paid_nonbrand
60,"2012-03-19 14:58:46",paid_nonbrand
61,"2012-03-19 15:01:00",paid_nonbrand
62,"2012-03-19 15:03:11",paid_nonbrand
63,"2012-03-19 15:03:57",paid_nonbrand
64,"2012-03-19 15:05:50",paid_nonbrand
65,"2012-03-19 15:13:54",paid_nonbrand
66,"2012-03-19 15:20:18",paid_nonbrand
67,"2012-03-19 15:29:46",paid_nonbrand
68,"2012-03-19 15:33:50",paid_nonbrand
69,"2012-03-19 15:56:47",paid_nonbrand
70,"2012-03-19 16:03:21",paid_nonbrand
71,"2012-03-19 16:03:55",paid_nonbrand
72,"2012-03-19 16:20:19",paid_nonbrand
73,"2012-03-19 16:32:16",paid_nonbrand
74,"2012-03-19 16:38:30",paid_nonbrand
75,"2012-03-19 16:39:59",paid_nonbrand
76,"2012-03-19 16:47:52",paid_nonbrand
77,"2012-03-19 16:55:37",paid_nonbrand
78,"2012-03-19 16:56:43",paid_nonbrand
79,"2012-03-19 16:59:12",paid_nonbrand
80,"2012-03-19 17:02:42",paid_nonbrand
81,"2012-03-19 17:05:02",paid_nonbrand
82,"2012-03-19 17:06:31",paid_nonbrand
83,"2012-03-19 17:08:45",paid_nonbrand
84,"2012-03-19 17:20:04",paid_nonbrand
85,"2012-03-19 17:23:41",paid_nonbrand
