yr,wk,week_start,sessions,orders
2012,12,2012-03-19,896,25
2012,13,2012-03-25,983,35
2012,14,2012-04-01,1193,29
2012,15,2012-04-08,1029,28
2012,16,2012-04-15,679,22
2012,17,2012-04-22,655,18
2012,18,2012-04-29,770,19
2012,19,2012-05-06,798,17
2012,20,2012-05-13,706,23
2012,21,2012-05-20,965,28
2012,22,2012-05-27,875,31
2012,23,2012-06-03,920,34
2012,24,2012-06-10,994,29
2012,25,2012-06-17,966,37
2012,26,2012-06-24,883,32
2012,27,2012-07-01,892,30
2012,28,2012-07-08,925,36
2012,29,2012-07-15,987,47
2012,30,2012-07-22,954,41
2012,31,2012-07-29,1172,55
2012,32,2012-08-05,1235,48
2012,33,2012-08-12,1181,39
2012,34,2012-08-19,1522,55
2012,35,2012-08-26,1593,52
2012,36,2012-09-02,1418,56
2012,37,2012-09-09,1488,72
2012,38,2012-09-16,1776,76
2012,39,2012-09-23,1624,70
2012,40,2012-09-30,1553,67
2012,41,2012-10-07,1632,73
2012,42,2012-10-14,1955,93
2012,43,2012-10-21,2042,95
2012,44,2012-10-28,1923,82
2012,45,2012-11-04,2086,91
2012,46,2012-11-11,1973,101
2012,47,2012-11-18,5130,223
2012,48,2012-11-25,4172,179
2012,49,2012-12-02,2727,145
2012,50,2012-12-09,2489,123
2012,51,2012-12-16,2718,135
2012,52,2012-12-23,1682,74
2012,53,2012-12-30,309,21
