hr,avg_sessions,mon,tues,wed,thurs,fri,sat,sun
0,6.7,8.7,7.7,6.3,7.4,6.8,5.0,5.0
1,5.5,6.6,6.7,5.3,4.9,7.1,5.0,3.0
2,4.6,6.1,4.4,4.4,6.1,4.6,3.7,3.0
3,4.3,5.7,4.0,4.7,4.6,3.6,3.9,3.4
4,4.8,5.9,6.3,6.0,4.0,6.1,2.8,2.4
5,4.8,5.0,5.4,5.1,5.4,4.6,4.3,3.9
6,5.0,5.4,5.6,4.8,6.0,6.8,4.0,2.6
7,7.2,7.3,7.8,7.4,10.6,7.0,5.7,4.8
8,10.4,12.3,12.2,13.0,16.5,10.5,4.3,4.1
9,14.6,17.6,15.7,19.6,19.3,17.5,7.6,6.0
10,15.5,18.4,17.7,21.0,18.4,19.0,8.3,6.3
11,16.9,18.0,19.1,24.9,21.6,20.9,7.2,7.7
12,17.7,21.1,23.3,22.8,24.1,19.0,8.6,6.1
13,17.1,17.8,23.0,20.8,20.6,21.6,8.1,8.4
14,16.4,17.9,21.6,22.3,18.5,19.5,8.7,6.7
15,17.4,21.6,17.1,25.3,23.5,21.3,6.9,7.1
16,17.7,21.1,23.7,23.7,19.6,20.9,7.6,6.6
17,14.5,19.4,15.9,20.2,19.8,12.9,6.4,7.6
18,11.5,12.7,15.0,14.8,15.3,10.9,5.3,6.8
19,11.3,12.4,14.1,13.3,11.6,14.3,7.1,6.4
20,10.5,12.1,12.4,14.2,10.6,10.3,5.7,8.4
21,9.4,9.1,12.6,11.4,9.4,7.3,5.7,10.2
22,9.0,9.1,10.0,9.8,12.1,6.0,5.7,10.2
23,8.4,8.8,8.6,9.6,10.6,7.6,5.3,8.3
