created_date,wkday,hr,website_sessions
2012-09-15,5,0,1
2012-09-15,5,1,8
2012-09-15,5,2,2
2012-09-15,5,3,4
2012-09-15,5,4,2
2012-09-15,5,5,3
2012-09-15,5,6,2
2012-09-15,5,7,7
2012-09-15,5,8,2
2012-09-15,5,9,6
2012-09-15,5,10,4
2012-09-15,5,11,6
2012-09-15,5,12,8
2012-09-15,5,13,9
2012-09-15,5,14,9
2012-09-15,5,15,6
2012-09-15,5,17,7
2012-09-15,5,18,8
2012-09-15,5,19,9
2012-09-15,5,20,6
2012-09-15,5,21,2
2012-09-15,5,22,1
2012-09-15,5,23,7
2012-09-16,6,0,5
2012-09-16,6,3,3
2012-09-16,6,4,2
2012-09-16,6,5,1
2012-09-16,6,6,2
2012-09-16,6,7,5
2012-09-16,6,8,2
2012-09-16,6,9,6
2012-09-16,6,10,8
2012-09-16,6,11,5
2012-09-16,6,12,9
2012-09-16,6,13,6
2012-09-16,6,14,4
2012-09-16,6,15,5
2012-09-16,6,16,8
2012-09-16,6,17,7
2012-09-16,6,18,3
2012-09-16,6,19,7
2012-09-16,6,20,11
2012-09-16,6,21,10
2012-09-16,6,22,12
2012-09-16,6,23,9
2012-09-17,0,0,6
2012-09-17,0,1,6
2012-09-17,0,2,8
2012-09-17,0,3,9
2012-09-17,0,4,3
2012-09-17,0,5,2
2012-09-17,0,6,9
2012-09-17,0,7,7
2012-09-17,0,8,11
2012-09-17,0,9,19
2012-09-17,0,10,16
2012-09-17,0,11,16
2012-09-17,0,12,18
2012-09-17,0,13,22
2012-09-17,0,14,24
2012-09-17,0,15,20
2012-09-17,0,16,22
2012-09-17,0,17,26
2012-09-17,0,18,17
2012-09-17,0,19,14
2012-09-17,0,20,15
2012-09-17,0,21,6
2012-09-17,0,22,6
2012-09-17,0,23,6
2012-09-18,1,0,11
2012-09-18,1,1,5
2012-09-18,1,2,5
2012-09-18,1,3,6
2012-09-18,1,4,8
2012-09-18,1,5,3
2012-09-18,1,6,4
2012-09-18,1,7,3
2012-09-18,1,8,5
2012-09-18,1,9,15
2012-09-18,1,10,10
2012-09-18,1,11,23
2012-09-18,1,12,17
2012-09-18,1,13,25
2012-09-18,1,14,25
2012-09-18,1,15,20
2012-09-18,1,16,22
2012-09-18,1,17,18
2012-09-18,1,18,17
2012-09-18,1,19,13
2012-09-18,1,20,13
2012-09-18,1,21,17
2012-09-18,1,22,11
2012-09-18,1,23,7
2012-09-19,2,0,6
2012-09-19,2,1,4
2012-09-19,2,2,3
2012-09-19,2,3,6
2012-09-19,2,4,6
2012-09-19,2,5,5
2012-09-19,2,6,8
2012-09-19,2,7,7
2012-09-19,2,8,17
2012-09-19,2,9,13
2012-09-19,2,10,25
2012-09-19,2,11,25
2012-09-19,2,12,25
2012-09-19,2,13,16
2012-09-19,2,14,19
2012-09-19,2,15,21
2012-09-19,2,16,21
2012-09-19,2,17,21
2012-09-19,2,18,14
2012-09-19,2,19,8
2012-09-19,2,20,7
2012-09-19,2,21,13
2012-09-19,2,22,13
2012-09-19,2,23,8
2012-09-20,3,0,5
2012-09-20,3,1,8
2012-09-20,3,2,1
2012-09-20,3,3,7
2012-09-20,3,4,4
2012-09-20,3,5,6
2012-09-20,3,6,4
2012-09-20,3,7,10
2012-09-20,3,8,15
2012-09-20,3,9,18
2012-09-20,3,10,17
2012-09-20,3,11,20
2012-09-20,3,12,23
2012-09-20,3,13,26
2012-09-20,3,14,16
2012-09-20,3,15,27
2012-09-20,3,16,21
2012-09-20,3,17,21
2012-09-20,3,18,21
2012-09-20,3,19,11
2012-09-20,3,20,9
2012-09-20,3,21,4
2012-09-20,3,22,9
2012-09-20,3,23,8
2012-09-21,4,0,5
2012-09-21,4,1,7
2012-09-21,4,2,1
2012-09-21,4,3,3
2012-09-21,4,4,7
2012-09-21,4,5,3
2012-09-21,4,6,3
2012-09-21,4,7,8
2012-09-21,4,8,14
2012-09-21,4,9,23
