yr,mon,sessions,orders,conv_rate,revenue_per_session,product_one_orders,product_two_orders
2012,4,3734,99,0.0265,1.325391,99,0
2012,5,3736,108,0.0289,1.445107,108,0
2012,6,3963,140,0.0353,1.765985,140,0
2012,7,4249,169,0.0398,1.988305,169,0
2012,8,6097,228,0.0374,1.869398,228,0
2012,9,6546,287,0.0438,2.191740,287,0
2012,10,8183,371,0.0453,2.266441,371,0
2012,11,14011,618,0.0441,2.204969,618,0
2012,12,10072,506,0.0502,2.511412,506,0
2013,1,6401,391,0.0611,3.127025,344,47
2013,2,7168,497,0.0693,3.692108,335,162
2013,3,6264,385,0.0615,3.176269,320,65
