website_session_id,product_seen,cart_made_it,shipping_made_it,billing_made_it,thankyou_made_it
63513,mrfuzzy,1,1,1,1
63515,mrfuzzy,1,0,0,0
63516,mrfuzzy,0,0,0,0
63517,mrfuzzy,0,0,0,0
63518,mrfuzzy,1,0,0,0
63519,mrfuzzy,0,0,0,0
63520,mrfuzzy,0,0,0,0
63521,mrfuzzy,1,1,1,1
63526,mrfuzzy,0,0,0,0
63527,mrfuzzy,0,0,0,0
63528,mrfuzzy,0,0,0,0
63529,mrfuzzy,0,0,0,0
63532,mrfuzzy,1,0,0,0
63533,mrfuzzy,0,0,0,0
63534,mrfuzzy,1,1,1,1
63537,mrfuzzy,0,0,0,0
63539,mrfuzzy,1,0,0,0
63543,mrfuzzy,1,1,0,0
63547,mrfuzzy,0,0,0,0
63548,mrfuzzy,0,0,0,0
63551,mrfuzzy,0,0,0,0
63552,mrfuzzy,1,0,0,0
63554,mrfuzzy,1,1,1,0
63555,mrfuzzy,1,1,1,1
63558,mrfuzzy,1,1,1,1
63562,lovebear,0,0,0,0
63565,mrfuzzy,1,1,1,0
63567,mrfuzzy,0,0,0,0
63571,mrfuzzy,0,0,0,0
63572,mrfuzzy,1,1,0,0
63573,mrfuzzy,0,0,0,0
63574,mrfuzzy,0,0,0,0
63575,mrfuzzy,0,0,0,0
63580,lovebear,0,0,0,0
63579,mrfuzzy,1,1,1,1
63582,mrfuzzy,1,1,1,0
63581,mrfuzzy,0,0,0,0
63584,mrfuzzy,0,0,0,0
63585,mrfuzzy,1,1,1,1
63590,mrfuzzy,0,0,0,0
63591,mrfuzzy,0,0,0,0
63594,mrfuzzy,1,0,0,0
63595,mrfuzzy,1,1,1,0
63602,mrfuzzy,1,0,0,0
63603,lovebear,1,0,0,0
63604,mrfuzzy,0,0,0,0
63605,mrfuzzy,1,1,1,1
63606,lovebear,0,0,0,0
63607,mrfuzzy,0,0,0,0
63608,mrfuzzy,0,0,0,0
63609,mrfuzzy,1,0,0,0
63611,mrfuzzy,0,0,0,0
63612,mrfuzzy,1,0,0,0
63618,mrfuzzy,0,0,0,0
63619,mrfuzzy,0,0,0,0
63620,mrfuzzy,0,0,0,0
63621,mrfuzzy,1,1,1,1
63623,mrfuzzy,1,1,1,0
63624,lovebear,0,0,0,0
63625,mrfuzzy,1,1,1,1
63626,mrfuzzy,0,0,0,0
63630,mrfuzzy,1,1,1,1
63631,mrfuzzy,0,0,0,0
63633,mrfuzzy,1,0,0,0
63642,mrfuzzy,0,0,0,0
63646,mrfuzzy,0,0,0,0
63648,mrfuzzy,1,1,1,0
63650,mrfuzzy,0,0,0,0
63652,mrfuzzy,0,0,0,0
63655,mrfuzzy,1,0,0,0
63664,mrfuzzy,0,0,0,0
63666,lovebear,0,0,0,0
63667,mrfuzzy,0,0,0,0
63669,mrfuzzy,0,0,0,0
63672,mrfuzzy,0,0,0,0
63673,mrfuzzy,0,0,0,0
63675,lovebear,1,0,0,0
63680,mrfuzzy,0,0,0,0
63685,mrfuzzy,1,1,1,0
63692,mrfuzzy,0,0,0,0
63694,mrfuzzy,0,0,0,0
63695,mrfuzzy,1,0,0,0
63699,mrfuzzy,0,0,0,0
63700,lovebear,0,0,0,0
63701,mrfuzzy,0,0,0,0
63704,mrfuzzy,1,0,0,0
63705,mrfuzzy,1,0,0,0
63712,mrfuzzy,0,0,0,0
63708,mrfuzzy,1,1,1,1
63715,mrfuzzy,0,0,0,0
63717,mrfuzzy,0,0,0,0
63719,lovebear,1,0,0,0
63727,mrfuzzy,1,1,1,0
63726,mrfuzzy,0,0,0,0
63728,mrfuzzy,0,0,0,0
63731,mrfuzzy,0,0,0,0
63737,lovebear,1,1,1,1
63740,mrfuzzy,0,0,0,0
63741,mrfuzzy,1,1,1,0
63746,mrfuzzy,0,0,0,0
63747,lovebear,1,1,1,1
63751,mrfuzzy,0,0,0,0
63755,mrfuzzy,0,0,0,0
63756,mrfuzzy,0,0,0,0
63757,mrfuzzy,0,0,0,0
63753,mrfuzzy,1,0,0,0
