time_period,cart_session_id,cart_pageview_id
"A. Pre_Cross_Sell",122947,285248
"A. Pre_Cross_Sell",122952,285261
"A. Pre_Cross_Sell",122954,285269
"A. Pre_Cross_Sell",122963,285290
"A. Pre_Cross_Sell",122973,285308
"A. Pre_Cross_Sell",122974,285315
"A. Pre_Cross_Sell",122987,285340
"A. Pre_Cross_Sell",123008,285376
"A. Pre_Cross_Sell",123016,285390
"A. Pre_Cross_Sell",123020,285403
"A. Pre_Cross_Sell",123021,285408
"A. Pre_Cross_Sell",123030,285428
"A. Pre_Cross_Sell",123031,285440
"A. Pre_Cross_Sell",123033,285445
"A. Pre_Cross_Sell",123038,285453
"A. Pre_Cross_Sell",123043,285467
"A. Pre_Cross_Sell",123049,285486
"A. Pre_Cross_Sell",123048,285487
"A. Pre_Cross_Sell",123050,285490
"A. Pre_Cross_Sell",123055,285504
"A. Pre_Cross_Sell",123056,285510
"A. Pre_Cross_Sell",123062,285526
"A. Pre_Cross_Sell",123061,285528
"A. Pre_Cross_Sell",123065,285541
"A. Pre_Cross_Sell",123068,285544
"A. Pre_Cross_Sell",123070,285555
"A. Pre_Cross_Sell",123075,285568
"A. Pre_Cross_Sell",123078,285575
"A. Pre_Cross_Sell",123081,285582
"A. Pre_Cross_Sell",123082,285590
"A. Pre_Cross_Sell",123087,285599
"A. Pre_Cross_Sell",123095,285614
"A. Pre_Cross_Sell",123101,285628
"A. Pre_Cross_Sell",123103,285642
"A. Pre_Cross_Sell",123104,285645
"A. Pre_Cross_Sell",123106,285647
"A. Pre_Cross_Sell",123109,285659
"A. Pre_Cross_Sell",123110,285661
"A. Pre_Cross_Sell",123111,285670
"A. Pre_Cross_Sell",123113,285676
"A. Pre_Cross_Sell",123119,285691
"A. Pre_Cross_Sell",123120,285698
"A. Pre_Cross_Sell",123123,285707
"A. Pre_Cross_Sell",123128,285722
"A. Pre_Cross_Sell",123129,285725
"A. Pre_Cross_Sell",123133,285738
"A. Pre_Cross_Sell",123139,285749
"A. Pre_Cross_Sell",123143,285761
"A. Pre_Cross_Sell",123150,285778
"A. Pre_Cross_Sell",123163,285810
"A. Pre_Cross_Sell",123165,285812
"A. Pre_Cross_Sell",123179,285834
"A. Pre_Cross_Sell",123180,285841
"A. Pre_Cross_Sell",123181,285846
"A. Pre_Cross_Sell",123187,285860
"A. Pre_Cross_Sell",123190,285869
"A. Pre_Cross_Sell",123191,285873
"A. Pre_Cross_Sell",123192,285879
"A. Pre_Cross_Sell",123200,285900
"A. Pre_Cross_Sell",123201,285901
"A. Pre_Cross_Sell",123203,285909
"A. Pre_Cross_Sell",123211,285927
"A. Pre_Cross_Sell",123214,285928
"A. Pre_Cross_Sell",123217,285937
"A. Pre_Cross_Sell",123225,285955
"A. Pre_Cross_Sell",123231,285967
"A. Pre_Cross_Sell",123240,285980
"A. Pre_Cross_Sell",123242,285984
"A. Pre_Cross_Sell",123243,285998
"A. Pre_Cross_Sell",123252,286019
"A. Pre_Cross_Sell",123257,286028
"A. Pre_Cross_Sell",123261,286036
"A. Pre_Cross_Sell",123268,286055
"A. Pre_Cross_Sell",123273,286067
"A. Pre_Cross_Sell",123282,286078
"A. Pre_Cross_Sell",123281,286083
"A. Pre_Cross_Sell",123284,286092
