time_period,cart_session_id,pv_id_after_cart
"A. Pre_Cross_Sell",122947,285250
"A. Pre_Cross_Sell",122952,285262
"A. Pre_Cross_Sell",122954,285270
"A. Pre_Cross_Sell",122987,285342
"A. Pre_Cross_Sell",123008,285380
"A. Pre_Cross_Sell",123020,285404
"A. Pre_Cross_Sell",123021,285410
"A. Pre_Cross_Sell",123030,285429
"A. Pre_Cross_Sell",123031,285441
"A. Pre_Cross_Sell",123038,285454
"A. Pre_Cross_Sell",123043,285469
"A. Pre_Cross_Sell",123049,285489
"A. Pre_Cross_Sell",123048,285492
"A. Pre_Cross_Sell",123050,285495
"A. Pre_Cross_Sell",123055,285505
"A. Pre_Cross_Sell",123056,285511
"A. Pre_Cross_Sell",123062,285527
"A. Pre_Cross_Sell",123065,285546
"A. Pre_Cross_Sell",123075,285569
"A. Pre_Cross_Sell",123081,285584
"A. Pre_Cross_Sell",123095,285615
"A. Pre_Cross_Sell",123101,285629
"A. Pre_Cross_Sell",123103,285643
"A. Pre_Cross_Sell",123109,285660
"A. Pre_Cross_Sell",123110,285663
"A. Pre_Cross_Sell",123119,285693
"A. Pre_Cross_Sell",123120,285702
"A. Pre_Cross_Sell",123123,285708
"A. Pre_Cross_Sell",123128,285724
"A. Pre_Cross_Sell",123129,285726
"A. Pre_Cross_Sell",123133,285739
"A. Pre_Cross_Sell",123139,285750
"A. Pre_Cross_Sell",123143,285765
"A. Pre_Cross_Sell",123150,285780
"A. Pre_Cross_Sell",123179,285836
"A. Pre_Cross_Sell",123180,285849
"A. Pre_Cross_Sell",123181,285851
"A. Pre_Cross_Sell",123187,285862
"A. Pre_Cross_Sell",123191,285875
"A. Pre_Cross_Sell",123201,285902
"A. Pre_Cross_Sell",123214,285929
"A. Pre_Cross_Sell",123242,285985
"A. Pre_Cross_Sell",123243,286001
"A. Pre_Cross_Sell",123252,286020
"A. Pre_Cross_Sell",123282,286082
"A. Pre_Cross_Sell",123281,286087
"A. Pre_Cross_Sell",123284,286096
"A. Pre_Cross_Sell",123286,286103
"A. Pre_Cross_Sell",123302,286140
"A. Pre_Cross_Sell",123314,286164
"A. Pre_Cross_Sell",123324,286190
"A. Pre_Cross_Sell",123326,286203
"A. Pre_Cross_Sell",123328,286204
"A. Pre_Cross_Sell",123333,286219
"A. Pre_Cross_Sell",123338,286245
"A. Pre_Cross_Sell",123354,286275
"A. Pre_Cross_Sell",123358,286295
"A. Pre_Cross_Sell",123360,286301
"A. Pre_Cross_Sell",123366,286318
"A. Pre_Cross_Sell",123369,286322
"A. Pre_Cross_Sell",123390,286364
"A. Pre_Cross_Sell",123391,286379
"A. Pre_Cross_Sell",123394,286388
"A. Pre_Cross_Sell",123397,286391
"A. Pre_Cross_Sell",123409,286421
"A. Pre_Cross_Sell",123423,286455
"A. Pre_Cross_Sell",123443,286500
"A. Pre_Cross_Sell",123461,286540
"A. Pre_Cross_Sell",123467,286562
"A. Pre_Cross_Sell",123474,286575
"A. Pre_Cross_Sell",123484,286595
"A. Pre_Cross_Sell",123492,286613
"A. Pre_Cross_Sell",123496,286626
"A. Pre_Cross_Sell",123500,286637
"A. Pre_Cross_Sell",123501,286644
"A. Pre_Cross_Sell",123515,286679
"A. Pre_Cross_Sell",123526,286708
"A. Pre_Cross_Sell",123538,286736
"A. Pre_Cross_Sell",123539,286739
"A. Pre_Cross_Sell",123552,286770
"A. Pre_Cross_Sell",123554,286777
"A. Pre_Cross_Sell",123565,286803
"A. Pre_Cross_Sell",123571,286816
"A. Pre_Cross_Sell",123581,286854
"A. Pre_Cross_Sell",123583,286861
"A. Pre_Cross_Sell",123593,286881
"A. Pre_Cross_Sell",123607,286915
"A. Pre_Cross_Sell",123610,286919
"A. Pre_Cross_Sell",123620,286942
"A. Pre_Cross_Sell",123640,286990
"A. Pre_Cross_Sell",123642,286989
"A. Pre_Cross_Sell",123651,287011
"A. Pre_Cross_Sell",123653,287020
"A. Pre_Cross_Sell",123673,287059
"A. Pre_Cross_Sell",123676,287070
"A. Pre_Cross_Sell",123690,287107
"A. Pre_Cross_Sell",123692,287110
"A. Pre_Cross_Sell",123701,287126
"A. Pre_Cross_Sell",123713,287165
"A. Pre_Cross_Sell",123729,287209
"A. Pre_Cross_Sell",123759,287258
"A. Pre_Cross_Sell",123760,287264
"A. Pre_Cross_Sell",123769,287290
"A. Pre_Cross_Sell",123772,287296
"A. Pre_Cross_Sell",123780,287319
"A. Pre_Cross_Sell",123782,287329
"A. Pre_Cross_Sell",123827,287425
"A. Pre_Cross_Sell",123832,287442
"A. Pre_Cross_Sell",123834,287451
"A. Pre_Cross_Sell",123837,287457
"A. Pre_Cross_Sell",123838,287465
"A. Pre_Cross_Sell",123841,287479
"A. Pre_Cross_Sell",123851,287500
"A. Pre_Cross_Sell",123868,287549
"A. Pre_Cross_Sell",123874,287566
"A. Pre_Cross_Sell",123878,287573
"A. Pre_Cross_Sell",123879,287574
"A. Pre_Cross_Sell",123891,287602
"A. Pre_Cross_Sell",123895,287630
"A. Pre_Cross_Sell",123897,287632
"A. Pre_Cross_Sell",123910,287654
"A. Pre_Cross_Sell",123917,287672
"A. Pre_Cross_Sell",123920,287686
"A. Pre_Cross_Sell",123921,287690
"A. Pre_Cross_Sell",123938,287725
"A. Pre_Cross_Sell",123939,287743
"A. Pre_Cross_Sell",123940,287744
"A. Pre_Cross_Sell",123958,287782
"A. Pre_Cross_Sell",123963,287801
"A. Pre_Cross_Sell",123971,287824
"A. Pre_Cross_Sell",124001,287886
"A. Pre_Cross_Sell",124005,287893
"A. Pre_Cross_Sell",124013,287917
"A. Pre_Cross_Sell",124019,287932
"A. Pre_Cross_Sell",124027,287946
"A. Pre_Cross_Sell",124032,287963
"A. Pre_Cross_Sell",124038,287980
"A. Pre_Cross_Sell",124040,287982
"A. Pre_Cross_Sell",124044,287996
"A. Pre_Cross_Sell",124052,288014
"A. Pre_Cross_Sell",124049,288016
"A. Pre_Cross_Sell",124075,288057
"A. Pre_Cross_Sell",124086,288084
"A. Pre_Cross_Sell",124078,288088
"A. Pre_Cross_Sell",124093,288105
"A. Pre_Cross_Sell",124098,288131
"A. Pre_Cross_Sell",124097,288132
"A. Pre_Cross_Sell",124102,288130
"A. Pre_Cross_Sell",124106,288135
"A. Pre_Cross_Sell",124101,288141
"A. Pre_Cross_Sell",124112,288163
"A. Pre_Cross_Sell",124113,288169
"A. Pre_Cross_Sell",124125,288198
"A. Pre_Cross_Sell",124122,288196
"A. Pre_Cross_Sell",124128,288209
"A. Pre_Cross_Sell",124138,288238
"A. Pre_Cross_Sell",124140,288240
"A. Pre_Cross_Sell",124143,288253
"A. Pre_Cross_Sell",124162,288290
"A. Pre_Cross_Sell",124174,288318
"A. Pre_Cross_Sell",124186,288350
