time_period,cart_session_id,order_id,items_purchased,price_usd
"A. Pre_Cross_Sell",122947,6645,1,49.99
"A. Pre_Cross_Sell",122987,6646,1,49.99
"A. Pre_Cross_Sell",123008,6647,1,49.99
"A. Pre_Cross_Sell",123021,6648,1,59.99
"A. Pre_Cross_Sell",123030,6649,1,49.99
"A. Pre_Cross_Sell",123031,6650,1,49.99
"A. Pre_Cross_Sell",123038,6651,1,49.99
"A. Pre_Cross_Sell",123049,6652,1,49.99
"A. Pre_Cross_Sell",123055,6653,1,49.99
"A. Pre_Cross_Sell",123062,6654,1,49.99
"A. Pre_Cross_Sell",123065,6655,1,49.99
"A. Pre_Cross_Sell",123075,6656,1,49.99
"A. Pre_Cross_Sell",123081,6657,1,49.99
"A. Pre_Cross_Sell",123101,6658,1,59.99
"A. Pre_Cross_Sell",123103,6659,1,49.99
"A. Pre_Cross_Sell",123110,6660,1,49.99
"A. Pre_Cross_Sell",123119,6661,1,49.99
"A. Pre_Cross_Sell",123129,6662,1,49.99
"A. Pre_Cross_Sell",123139,6663,1,49.99
"A. Pre_Cross_Sell",123143,6664,1,49.99
"A. Pre_Cross_Sell",123150,6665,1,49.99
"A. Pre_Cross_Sell",123179,6666,1,49.99
"A. Pre_Cross_Sell",123180,6667,1,49.99
"A. Pre_Cross_Sell",123181,6668,1,49.99
"A. Pre_Cross_Sell",123201,6669,1,49.99
"A. Pre_Cross_Sell",123243,6670,1,49.99
"A. Pre_Cross_Sell",123252,6671,1,59.99
"A. Pre_Cross_Sell",123281,6672,1,49.99
"A. Pre_Cross_Sell",123284,6673,1,49.99
"A. Pre_Cross_Sell",123286,6674,1,49.99
"A. Pre_Cross_Sell",123314,6675,1,49.99
"A. Pre_Cross_Sell",123324,6676,1,59.99
"A. Pre_Cross_Sell",123333,6677,1,59.99
"A. Pre_Cross_Sell",123338,6678,1,49.99
"A. Pre_Cross_Sell",123358,6679,1,49.99
"A. Pre_Cross_Sell",123366,6680,1,59.99
"A. Pre_Cross_Sell",123394,6681,1,59.99
"A. Pre_Cross_Sell",123397,6682,1,49.99
"A. Pre_Cross_Sell",123443,6683,1,49.99
"A. Pre_Cross_Sell",123461,6684,1,49.99
"A. Pre_Cross_Sell",123467,6685,1,59.99
"A. Pre_Cross_Sell",123474,6686,1,49.99
"A. Pre_Cross_Sell",123484,6687,1,49.99
"A. Pre_Cross_Sell",123492,6688,1,49.99
"A. Pre_Cross_Sell",123500,6689,1,59.99
"A. Pre_Cross_Sell",123515,6690,1,49.99
"A. Pre_Cross_Sell",123526,6691,1,49.99
"A. Pre_Cross_Sell",123539,6692,1,49.99
"A. Pre_Cross_Sell",123552,6693,1,49.99
"A. Pre_Cross_Sell",123554,6694,1,49.99
"A. Pre_Cross_Sell",123571,6695,1,49.99
"A. Pre_Cross_Sell",123581,6696,1,59.99
