time_period,cart_session_id,clicked_to_another_page,placed_order,items_purchased,price_usd
"A. Pre_Cross_Sell",122947,1,1,1,49.99
"A. Pre_Cross_Sell",122952,1,0,NULL,NULL
"A. Pre_Cross_Sell",122954,1,0,NULL,NULL
"A. Pre_Cross_Sell",122963,0,0,NULL,NULL
"A. Pre_Cross_Sell",122973,0,0,NULL,NULL
"A. Pre_Cross_Sell",122974,0,0,NULL,NULL
"A. Pre_Cross_Sell",122987,1,1,1,49.99
"A. Pre_Cross_Sell",123008,1,1,1,49.99
"A. Pre_Cross_Sell",123016,0,0,NULL,NULL
"A. Pre_Cross_Sell",123020,1,0,NULL,NULL
"A. Pre_Cross_Sell",123021,1,1,1,59.99
"A. Pre_Cross_Sell",123030,1,1,1,49.99
"A. Pre_Cross_Sell",123031,1,1,1,49.99
"A. Pre_Cross_Sell",123033,0,0,NULL,NULL
"A. Pre_Cross_Sell",123038,1,1,1,49.99
"A. Pre_Cross_Sell",123043,1,0,NULL,NULL
"A. Pre_Cross_Sell",123048,1,0,NULL,NULL
"A. Pre_Cross_Sell",123049,1,1,1,49.99
"A. Pre_Cross_Sell",123050,1,0,NULL,NULL
"A. Pre_Cross_Sell",123055,1,1,1,49.99
"A. Pre_Cross_Sell",123056,1,0,NULL,NULL
"A. Pre_Cross_Sell",123061,0,0,NULL,NULL
"A. Pre_Cross_Sell",123062,1,1,1,49.99
"A. Pre_Cross_Sell",123065,1,1,1,49.99
"A. Pre_Cross_Sell",123068,0,0,NULL,NULL
"A. Pre_Cross_Sell",123070,0,0,NULL,NULL
"A. Pre_Cross_Sell",123075,1,1,1,49.99
"A. Pre_Cross_Sell",123078,0,0,NULL,NULL
"A. Pre_Cross_Sell",123081,1,1,1,49.99
"A. Pre_Cross_Sell",123082,0,0,NULL,NULL
"A. Pre_Cross_Sell",123087,0,0,NULL,NULL
"A. Pre_Cross_Sell",123095,1,0,NULL,NULL
"A. Pre_Cross_Sell",123101,1,1,1,59.99
"A. Pre_Cross_Sell",123103,1,1,1,49.99
"A. Pre_Cross_Sell",123104,0,0,NULL,NULL
"A. Pre_Cross_Sell",123106,0,0,NULL,NULL
"A. Pre_Cross_Sell",123109,1,0,NULL,NULL
"A. Pre_Cross_Sell",123110,1,1,1,49.99
"A. Pre_Cross_Sell",123111,0,0,NULL,NULL
"A. Pre_Cross_Sell",123113,0,0,NULL,NULL
"A. Pre_Cross_Sell",123119,1,1,1,49.99
"A. Pre_Cross_Sell",123120,1,0,NULL,NULL
"A. Pre_Cross_Sell",123123,1,0,NULL,NULL
"A. Pre_Cross_Sell",123128,1,0,NULL,NULL
"A. Pre_Cross_Sell",123129,1,1,1,49.99
"A. Pre_Cross_Sell",123133,1,0,NULL,NULL
"A. Pre_Cross_Sell",123139,1,1,1,49.99
"A. Pre_Cross_Sell",123143,1,1,1,49.99
"A. Pre_Cross_Sell",123150,1,1,1,49.99
"A. Pre_Cross_Sell",123163,0,0,NULL,NULL
"A. Pre_Cross_Sell",123165,0,0,NULL,NULL
"A. Pre_Cross_Sell",123179,1,1,1,49.99
"A. Pre_Cross_Sell",123180,1,1,1,49.99
"A. Pre_Cross_Sell",123181,1,1,1,49.99
"A. Pre_Cross_Sell",123187,1,0,NULL,NULL
"A. Pre_Cross_Sell",123190,0,0,NULL,NULL
"A. Pre_Cross_Sell",123191,1,0,NULL,NULL
"A. Pre_Cross_Sell",123192,0,0,NULL,NULL
"A. Pre_Cross_Sell",123200,0,0,NULL,NULL
"A. Pre_Cross_Sell",123201,1,1,1,49.99
"A. Pre_Cross_Sell",123203,0,0,NULL,NULL
"A. Pre_Cross_Sell",123211,0,0,NULL,NULL
"A. Pre_Cross_Sell",123214,1,0,NULL,NULL
"A. Pre_Cross_Sell",123217,0,0,NULL,NULL
"A. Pre_Cross_Sell",123225,0,0,NULL,NULL
"A. Pre_Cross_Sell",123231,0,0,NULL,NULL
"A. Pre_Cross_Sell",123240,0,0,NULL,NULL
"A. Pre_Cross_Sell",123242,1,0,NULL,NULL
"A. Pre_Cross_Sell",123243,1,1,1,49.99
