user_id,new_session_id,new_sessions_created_at,repeat_session_id,repeat_session_created_at
152826,175252,"2014-01-01 00:00:09",NULL,NULL
152827,175253,"2014-01-01 00:03:26",NULL,NULL
152828,175254,"2014-01-01 00:26:21",NULL,NULL
152829,175256,"2014-01-01 00:37:35",NULL,NULL
152830,175257,"2014-01-01 00:41:11",NULL,NULL
152831,175258,"2014-01-01 00:44:49",NULL,NULL
152832,175259,"2014-01-01 00:48:18",NULL,NULL
152833,175260,"2014-01-01 00:57:47",NULL,NULL
152834,175261,"2014-01-01 01:02:43",NULL,NULL
152835,175262,"2014-01-01 01:13:57",NULL,NULL
152836,175263,"2014-01-01 01:29:35",NULL,NULL
152837,175264,"2014-01-01 01:36:26",199112,"2014-02-16 18:46:36"
152838,175266,"2014-01-01 01:50:54",NULL,NULL
152839,175267,"2014-01-01 01:59:37",NULL,NULL
152840,175269,"2014-01-01 02:04:15",NULL,NULL
152841,175271,"2014-01-01 02:36:13",NULL,NULL
152842,175272,"2014-01-01 02:39:48",NULL,NULL
152843,175273,"2014-01-01 02:42:03",NULL,NULL
152844,175274,"2014-01-01 02:45:36",NULL,NULL
152845,175275,"2014-01-01 02:45:36",NULL,NULL
152846,175276,"2014-01-01 02:45:40",NULL,NULL
152847,175277,"2014-01-01 02:46:04",188581,"2014-01-29 16:45:46"
152848,175278,"2014-01-01 02:50:51",204565,"2014-02-26 10:11:18"
152849,175279,"2014-01-01 03:10:33",182067,"2014-01-16 15:15:48"
152849,175279,"2014-01-01 03:10:33",192011,"2014-02-05 08:27:49"
152849,175279,"2014-01-01 03:10:33",200819,"2014-02-19 13:55:53"
152850,175281,"2014-01-01 03:22:41",NULL,NULL
152851,175282,"2014-01-01 03:29:38",185997,"2014-01-24 12:29:03"
152852,175283,"2014-01-01 03:38:53",NULL,NULL
152853,175284,"2014-01-01 03:47:19",NULL,NULL
152854,175285,"2014-01-01 03:53:30",NULL,NULL
152855,175287,"2014-01-01 04:01:59",NULL,NULL
152856,175288,"2014-01-01 04:02:13",NULL,NULL
152857,175289,"2014-01-01 04:17:29",NULL,NULL
152858,175290,"2014-01-01 04:39:03",NULL,NULL
152859,175291,"2014-01-01 04:53:47",NULL,NULL
152860,175292,"2014-01-01 05:04:41",NULL,NULL
152861,175295,"2014-01-01 05:31:58",NULL,NULL
152862,175296,"2014-01-01 05:37:23",NULL,NULL
152863,175297,"2014-01-01 05:42:39",NULL,NULL
152864,175298,"2014-01-01 05:54:22",NULL,NULL
152865,175300,"2014-01-01 05:58:17",200538,"2014-02-19 06:13:21"
