user_id,days_first_to_second_session
152837,46
152847,28
152848,56
152849,15
152851,23
152865,49
152878,32
152881,64
152890,35
152891,40
152898,9
152901,41
152911,34
152932,40
152949,63
152953,30
152957,16
152962,19
152973,42
152988,65
152993,63
152996,44
152998,62
152999,64
153003,55
153005,37
153006,65
153029,16
153031,36
153040,54
153041,14
153045,10
153059,17
153063,58
153067,7
153076,18
153080,30
153081,13
153108,42
153116,51
153127,64
153135,40
153143,34
153146,12
153148,48
153156,6
153161,36
153164,28
153193,34
153215,57
153220,17
153232,37
153233,34
153235,56
153238,14
153240,9
153243,6
153246,28
153256,49
153272,16
153273,6
153280,9
153295,8
153299,15
153301,12
153307,14
153308,55
153311,26
153313,27
153314,13
153318,6
153326,55
153342,46
153346,20
153376,57
153380,44
153388,40
153389,64
153403,36
153404,50
153409,65
153419,6
153426,49
153428,62
153463,25
153465,13
153494,62
153510,38
153513,41
153520,41
153523,34
153539,22
153551,56
153556,47
153564,11
153567,8
153568,11
153576,49
153577,58
153580,29
153589,47
153590,52
153607,34
153610,55
153615,14
153625,57
153626,49
153639,42
153641,48
153642,32
153649,42
153652,51
153657,33
153665,62
153670,19
153674,17
153682,48
153698,34
153702,3
153703,62
153704,27
153721,10
153736,18
153739,47
153740,32
153744,47
153749,35
153762,46
153763,10
153788,61
153795,30
153804,3
153806,61
153810,34
153813,48
153814,26
153843,59
153846,9
153848,20
153859,25
153861,3
153864,58
153918,19
153921,46
153923,26
153926,14
153928,50
153936,33
153938,3
153945,31
153952,52
153962,22
153987,17
153990,26
154000,25
154002,23
154012,44
154015,8
154019,37
154022,51
154028,16
154043,47
154051,12
154052,52
154065,16
154070,9
154074,2
154084,50
154085,26
154092,48
154097,11
154113,31
154125,43
154130,48
154137,26
154148,28
154152,44
154155,43
154160,26
154166,38
154169,52
154185,29
154193,11
154198,58
154200,12
154201,68
154205,53
154221,15
154225,35
154226,63
154230,40
154238,53
154239,9
154252,26
154257,42
154261,40
154266,34
154280,18
154291,49
154297,61
154303,31
154307,17
154309,38
154312,57
154333,65
154337,18
154348,68
154353,66
154355,46
154366,51
154375,66
154377,28
154385,59
154391,23
154398,17
154404,19
154410,53
154416,37
154420,52
154464,45
154476,33
154478,17
154480,16
154501,42
154506,35
154507,21
154510,29
154512,68
154535,24
154536,42
154547,6
154550,47
154559,29
154563,12
154567,43
154588,19
154590,42
154598,56
154601,50
154614,25
154618,53
154622,58
154639,63
154640,9
154657,23
154660,17
154667,59
154672,37
154673,64
154680,44
154682,16
154683,19
154687,58
154691,51
154700,15
154702,45
154704,11
154711,30
154714,45
154719,9
154730,47
154733,59
154755,63
154760,64
154764,6
154768,13
154771,38
154800,32
154806,9
154815,31
154828,11
154836,24
154837,31
154839,20
154846,55
154854,25
154857,9
154865,61
154871,41
154877,9
154882,56
154900,51
154917,62
154944,41
154946,60
154958,64
154979,31
154993,27
154999,19
155007,28
155008,32
155011,21
155024,23
155048,14
155055,38
155060,20
155065,11
155068,15
155080,62
155082,44
155087,24
155088,54
155097,35
155100,56
155101,17
155102,58
155103,67
155113,52
155128,64
155132,35
155133,44
155139,21
155150,16
155155,21
155159,57
155163,19
155164,41
155168,36
155170,15
155179,16
155188,63
155190,32
155194,10
155199,53
155202,19
155219,17
155220,59
155223,20
155225,20
155226,43
155242,36
155246,26
155255,13
155265,37
155266,18
155269,48
155270,36
155279,31
155289,5
155298,41
155301,9
155305,63
155316,35
155317,33
155332,28
155334,21
155335,48
155347,16
155364,20
155368,7
155377,63
155379,41
155381,30
155384,41
155390,61
155393,34
155395,41
155410,13
155438,26
155446,58
155450,39
155452,28
155456,16
155457,58
155466,28
155475,20
155476,30
155477,40
155480,13
155483,33
155486,14
155498,42
155499,15
155508,31
155512,12
155515,29
155530,36
155534,27
155539,60
155540,50
155564,32
155568,18
155570,54
155573,34
155575,17
155577,6
155599,27
155612,40
155617,5
155618,39
155636,54
155642,62
155647,29
155650,40
155651,42
155655,10
155657,4
155662,16
155665,35
155668,54
155682,38
155683,63
155685,42
155692,34
155700,18
155715,3
155725,53
155735,35
155750,4
155752,6
155765,48
155767,43
155773,22
155780,62
155783,34
155792,51
155808,13
155816,62
155830,57
155840,17
155844,59
155848,43
155857,7
155864,16
155882,14
155889,8
155892,60
155903,6
155908,20
155914,40
155918,41
155930,43
155932,55
155951,31
155998,22
156001,43
156014,45
156030,35
156046,12
156051,13
156063,13
156065,53
156073,36
156076,21
156083,51
156093,54
156094,32
156099,21
156102,51
156116,56
156137,59
156144,59
156145,50
156168,49
156170,2
156171,55
156181,14
156188,7
156199,39
156205,18
156206,44
156216,19
156219,12
156220,39
156222,6
156223,63
156239,4
156245,25
156246,11
156262,39
156272,51
156295,53
156297,59
156331,38
156335,10
156336,32
156343,55
156344,9
156350,38
156351,45
156364,19
156367,32
156374,31
156375,11
156379,30
156383,19
156397,35
156405,39
156408,40
156409,52
156434,60
156437,33
156440,38
156446,23
156452,43
156461,38
156474,43
156476,52
156490,61
156495,32
156500,45
156503,67
156518,58
156521,41
156536,46
156538,19
156550,35
156552,52
156554,51
156555,23
156556,10
156561,60
156571,19
156575,15
156582,11
156585,66
156591,40
156597,18
156610,49
156622,41
156627,23
156629,36
156635,66
156636,59
156655,53
156660,64
156662,49
156673,43
156674,65
156677,21
156680,46
156683,16
156685,63
156693,8
156701,35
156705,38
156712,56
156718,30
156735,18
156743,22
156744,47
156746,8
156756,31
156760,31
156762,21
156764,61
156781,38
156797,32
156810,7
156811,65
156813,32
156814,11
156825,28
156831,31
156835,8
156838,28
156841,39
156848,28
156859,66
156867,9
156875,17
156879,65
156883,31
156896,58
156898,44
156900,15
156915,42
156916,56
156934,33
156944,21
156952,56
156954,21
156956,38
156962,60
156963,42
156964,15
156973,23
156976,57
156977,26
156980,60
156984,31
156997,67
157006,18
157030,38
157036,36
157047,39
157074,31
157075,32
157097,43
157098,44
157105,67
157109,50
157110,33
157112,39
157129,18
157144,57
157155,66
157156,37
157160,16
157170,21
157174,66
157200,48
157209,10
157210,66
157214,48
